,Id,Symbol,Name,Image,Current_Price,Market_Cap,Market_Cap_Rank,Fully_Diluted_Valuation,Total_Volume,High_24H,Low_24H,Price_Change_24H,Price_Change_Percentage_24H,Market_Cap_Change_24H,Market_Cap_Change_Percentage_24H,Circulating_Supply,Total_Supply,Max_Supply,Ath,Ath_Change_Percentage,Ath_Date,Atl,Atl_Change_Percentage,Atl_Date,Roi,Last_Updated,MarketID
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,59901.0,1120630741713,1,1259744440222.0,56182171975.0,61262.0,59483.0,310.56,0.52116,7297112496.0,0.65543,18680968.0,21000000.0,21000000.0,61712.0,-2.7937,2021-03-13T20:49:26.606Z,67.81,88365.88283,2013-07-06T00:00:00.000Z,,2021-04-12T21:25:12.922Z,14
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,2147.38,247725439553,2,,29447030216.0,2195.22,2115.23,6.82,0.31852,-21368567.4680481,-0.00863,115443377.499,,,2198.36,-2.38804,2021-04-10T04:23:58.850Z,0.432979,495504.39894,2015-10-20T00:00:00.000Z,"{'times': 46.83576509175752, 'currency': 'btc', 'percentage': 4683.576509175752}",2021-04-12T21:24:15.117Z,39
2,binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,604.66,93358961313,3,103025097864.0,10444885138.0,610.06,502.68,101.85,20.25731,15646171464.0,20.13333,154533651.9,170533651.9,170533651.9,610.06,-0.97071,2021-04-12T09:32:32.635Z,0.0398177,1517148.80419,2017-10-19T00:00:00.000Z,,2021-04-12T21:24:09.662Z,11
3,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,1.38,63413284094,4,,11793252682.0,1.41,1.33,-0.02159488,-1.54491,-737938639.3242264,-1.15031,45973318056.0,100000000000.0,,3.4,-59.41239,2018-01-07T00:00:00.000Z,0.00268621,51249.35278,2014-05-22T00:00:00.000Z,,2021-04-12T21:25:14.512Z,101
4,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,0.999723,44549558652,5,,123524758380.0,1.01,0.996115,0.00038063,0.03809,41945005.0,0.09424,44561923405.4174,44561923405.4174,,1.32,-24.44063,2018-07-24T00:00:00.000Z,0.572521,74.61762,2015-03-02T00:00:00.000Z,,2021-04-12T21:06:59.500Z,91
5,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.3,41858698673,6,,4952866986.0,1.34,1.26,0.0273297,2.14323,1051396855.0,2.57649,32029819461.5954,45000000000.0,,1.48,-11.53974,2021-03-18T15:55:08.465Z,0.01925275,6687.94835,2020-03-13T02:22:55.044Z,,2021-04-12T21:24:57.488Z,2
6,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,40.59,40015740340,7,,1463237315.0,41.78,39.65,-0.66010786,-1.60021,-693656020.7478485,-1.70392,984045016.39088,1064988612.87821,,46.45,-12.45963,2021-04-03T06:50:35.217Z,2.7,1407.5674,2020-08-20T05:48:11.359Z,,2021-04-12T21:25:23.978Z,34
7,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,36.28,18939576030,8,36432253272.0,2729118951.0,37.36,29.59,6.0,19.79831,3178857663.0,20.1695,519857388.1320768,1000000000.0,1000000000.0,37.36,-2.47508,2021-04-12T18:48:40.039Z,1.03,3436.64014,2020-09-17T01:20:38.214Z,,2021-04-12T21:25:24.694Z,89
8,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,244.19,16354532557,9,,7793118800.0,257.41,241.98,-3.74516006,-1.51056,-218512061.43943596,-1.31848,66752414.5153875,84000000.0,,360.66,-32.06852,2017-12-18T00:00:00.000Z,1.15,21225.90387,2015-01-14T00:00:00.000Z,,2021-04-12T21:25:17.794Z,60
9,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,33.08,13890420664,10,33150605877.0,1180521972.0,34.11,32.1,-0.60601519,-1.79896,-250553364.67476845,-1.77183,419009556.43444455,1000000000.0,1000000000.0,36.95,-10.28193,2021-02-20T13:49:13.377Z,0.148183,22271.45578,2017-11-29T00:00:00.000Z,,2021-04-12T21:24:47.104Z,59
10,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.572111,13083842229,11,,2491979337.0,0.611584,0.568078,-0.03947334,-6.45428,-848663323.66963,-6.09125,22838873258.5957,50000000000.0,,0.875563,-34.57056,2018-01-03T00:00:00.000Z,0.00047612,120220.90927,2015-03-05T00:00:00.000Z,,2021-04-12T21:24:07.485Z,99
11,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,670.95,12568598432,12,,5455911317.0,695.03,657.6,-7.89151134,-1.1625,-130594237.12483215,-1.02837,18706406.1467895,21000000.0,,3785.82,-82.26256,2017-12-20T00:00:00.000Z,76.93,772.82697,2018-12-16T00:00:00.000Z,,2021-04-12T21:23:51.193Z,10
12,theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,12.07,12079532001,13,,265794815.0,12.34,11.87,-0.24290787,-1.97351,-229469724.4252796,-1.86424,1000000000.0,1000000000.0,,14.87,-18.77221,2021-03-24T05:34:42.998Z,0.04039979,29799.9837,2020-03-13T02:24:16.483Z,"{'times': 79.43662043079694, 'currency': 'usd', 'percentage': 7943.662043079693}",2021-04-12T21:24:27.301Z,85
13,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.99969,11022485767,14,,1647574423.0,1.01,0.991427,-0.00156079,-0.15588,-238090831.0086174,-2.11438,11019575528.9296,11019575528.9296,,1.17,-14.70462,2019-05-08T00:40:28.300Z,0.924188,8.23171,2020-08-02T04:44:57.506Z,,2021-04-12T21:24:10.922Z,90
14,filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,163.47,10852174112,15,323989935936.0,1833378153.0,180.8,160.86,-12.79807309,-7.26076,-751762028.1392555,-6.47851,66261418.0,1978224119.0,1978224119.0,236.84,-30.84767,2021-04-01T13:29:41.564Z,20.06,716.47001,2020-12-29T22:32:28.483Z,,2021-04-12T21:24:43.812Z,41
15,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.135504,9717103257,16,,6670696869.0,0.137221,0.121655,0.01211537,9.81884,882187595.0,9.98524,71660220128.0,100850743812.0,,0.231673,-41.4693,2018-01-05T00:00:00.000Z,0.00180434,7415.18904,2017-11-12T00:00:00.000Z,"{'times': 70.31812823919805, 'currency': 'usd', 'percentage': 7031.812823919805}",2021-04-12T21:23:52.930Z,86
