,Date,Total_BTC,MarketCap,TR_24h,TR_Avg_h,BTC_Sent_24h,BTC_Sent_Avg_h,BTC_Count,Blocks_24h,Blocks_Avg_h,Difficulty,Next_Difficulty,Hashrate_Tera,Hashrate_Peta,MarketID
0,2013-08-26,11608775,1406983298,53292.0,2220.5,641072.88,26711.37,254350,165,6.88,65750060,68498336,490.33,6227.19,14
1,2013-08-27,11612775,1504095211,57316.0,2388.17,882731.69,36780.49,254510,171,7.13,65750060,70053502,501.46,6368.57,14
2,2013-08-28,11617025,1342254303,66380.0,2765.83,831597.17,34649.88,254680,170,7.08,65750060,70879556,507.38,6443.67,14
3,2013-08-29,11621875,1381724719,61617.0,2567.38,2694076.29,112253.18,254874,194,8.08,65750060,72700400,520.41,6609.2,14
4,2013-08-30,11626775,1391724968,60440.0,2518.33,684111.74,28504.66,255070,196,8.17,65750060,75286537,538.92,6844.31,14
5,2013-08-31,11632150,1508573534,53883.0,2245.13,789921.89,32913.41,255285,215,8.96,65750060,78431661,561.44,7130.23,14
6,2013-09-01,11637700,1687466500,46290.0,1928.75,1092653.67,45527.24,255507,222,9.25,65750060,81658228,584.53,7423.56,14
7,2013-09-02,11643525,1526116822,49069.0,2044.54,624929.97,26038.75,255740,233,9.71,65750060,84363145,603.89,7669.47,14
8,2013-09-03,11647975,1696088547,50796.0,2116.5,983730.92,40988.79,255918,178,7.42,65750060,85473739,611.84,7770.43,14
9,2013-09-04,11652675,1414634745,52281.0,2178.38,868735.93,36197.33,256106,188,7.83,86933018,88094346,630.6,8008.67,14
10,2013-09-05,11656725,1454759280,58379.0,2432.46,879737.57,36655.73,256268,162,6.75,86933018,90544632,648.14,8231.43,14
11,2013-09-06,11661550,1534426749,64116.0,2671.5,845941.17,35247.55,256461,193,8.04,86933018,94587587,677.08,8598.97,14
12,2013-09-07,11665450,1374073356,53405.0,2225.21,692350.04,28847.92,256617,156,6.5,86933018,96160124,688.34,8741.93,14
13,2013-09-08,11669225,1475682959,47549.0,1981.21,436833.11,18201.38,256768,151,6.29,86933018,96990613,694.29,8817.43,14
14,2013-09-09,11674025,1568405375,50778.0,2115.75,486337.05,20264.04,256960,192,8.0,86933018,99804941,714.43,9073.28,14
15,2013-09-10,11678725,1412985580,56997.0,2374.88,1075269.17,44802.88,257148,188,7.83,86933018,101458738,726.27,9223.63,14
16,2013-09-11,11683600,1602990154,49939.0,2080.79,821621.96,34234.25,257343,195,8.13,86933018,103077235,737.86,9370.77,14
17,2013-09-12,11688900,1637965557,51876.0,2161.5,670617.79,27942.41,257555,212,8.83,86933018,105522280,755.36,9593.05,14
18,2013-09-13,11694075,1453058983,47828.0,1992.83,716968.17,29873.67,257762,207,8.63,86933018,107221491,767.52,9747.52,14
19,2013-09-14,11699450,1453071690,46791.0,1949.63,637098.93,26545.79,257977,215,8.96,86933018,111728444,799.78,10157.25,14
20,2013-09-15,11704250,1474735500,46647.0,1943.63,415623.73,17317.66,258169,192,8.0,112628549,116116704,831.2,10556.19,14
21,2013-09-16,11708625,1622112908,51832.0,2159.67,566765.73,23615.24,258344,175,7.29,112628549,118865893,850.88,10806.12,14
22,2013-09-17,11712925,1455389496,64595.0,2691.46,683906.59,28496.11,258516,172,7.17,112628549,121022360,866.31,11002.16,14
23,2013-09-18,11716575,1463177603,63835.0,2659.79,758502.8,31604.28,258662,146,6.08,112628549,122839164,879.32,11167.33,14
24,2013-09-19,11721525,1453586315,58374.0,2432.25,789952.81,32914.7,258860,198,8.25,112628549,128867669,922.47,11715.38,14
