Year,CO2_Em
1949,2206.690829
1950,2382.046176
1951,2526.687327
1952,2473.373964
1953,2536.892888
1954,2422.25256
1955,2684.786146
1956,2777.042758
1957,2756.562392
1958,2703.188545
1959,2807.171174
1960,2914.008533
1961,2942.790633
1962,3064.923181
1963,3184.516899
1964,3316.753148
1965,3461.741169
1966,3654.178703
1967,3749.381715
1968,3964.523069
1969,4134.686706
1970,4261.307787
1971,4311.927159
1972,4532.007774
1973,4721.984594
1974,4561.227063
1975,4426.421477
1976,4694.157203
1977,4835.524743
1978,4883.910187
1979,4946.62713
1980,18667.127066295
1981,18290.157869779
1982,18244.188107851
1983,18435.506054662
1984,19722.582507813
1985,20135.400513561
1986,20632.910795564
1987,21286.648188568
1988,21977.391878484
1989,22285.045191762
1990,22535.363591313
1991,22143.702467822
1992,21948.807883476
1993,22071.224680111
1994,22267.296839751
1995,22785.12728636
1996,23265.419995802
1997,23354.291652889
1998,23406.156709568
1999,23762.744825907
2000,24514.868844757
2001,24725.515109671
2002,25285.955397789
2003,26433.525703869
2004,27886.965895202
2005,28989.024520559
2006,29930.244706212
2007,30383.566084494
2008,31081.633603719
2009,30892.337874657
2010,32912.578438892
2011,34037.11276708
2012,34849.116454819
2013,35261.243305564
2014,35328.511560585
2015,35116.199153644
2016,34559.643569553
2017,35360.995673584
2018,36227.769472819
