,Id,Symbol,Name,Image,Current_Price,Market_Cap,Market_Cap_Rank,Fully_Diluted_Valuation,Total_Volume,High_24H,Low_24H,Price_Change_24H,Price_Change_Percentage_24H,Market_Cap_Change_24H,Market_Cap_Change_Percentage_24H,Circulating_Supply,Total_Supply,Max_Supply,Ath,Ath_Change_Percentage,Ath_Date,Atl,Atl_Change_Percentage,Atl_Date,Roi,Last_Updated,MarketID
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,48908.0,909314300397,1,1021755801691.0,88246242220,55474.0,48808.0,-5822.39325255,-10.63836,-109421403631.21191,-10.7409,18689006.0,21000000.0,21000000.0,64805.0,-24.53052,2021-04-14T11:54:46.763Z,67.81,72025.80146,2013-07-06T00:00:00.000Z,,2021-04-23T06:40:00.797Z,13
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,2181.22,250553770520,2,,67449030991,2640.37,2166.76,-297.95638035,-12.01839,-35405109267.52426,-12.38119,115583343.624,,,2640.37,-17.38969,2021-04-22T16:34:50.091Z,0.432979,503669.7197,2015-10-20T00:00:00.000Z,"{'times': 58.48392733819114, 'currency': 'btc', 'percentage': 5848.392733819114}",2021-04-23T06:40:15.007Z,38
2,binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,475.29,73135053300,3,80707260638.0,12017890025,579.11,465.26,-87.58417947,-15.56017,-13638095620.157608,-15.71695,154533651.9,170533651.9,170533651.9,610.06,-22.0907,2021-04-12T09:32:32.635Z,0.0398177,1193564.89829,2017-10-19T00:00:00.000Z,,2021-04-23T06:40:16.106Z,10
3,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,0.999066,49376729218,4,,188985517535,1.01,0.976468,-0.0011921,-0.11918,-342594059.77101135,-0.68906,49422887976.6123,49422887976.6123,,1.32,-24.49024,2018-07-24T00:00:00.000Z,0.572521,74.50295,2015-03-02T00:00:00.000Z,,2021-04-23T06:07:56.266Z,90
4,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,1.04,47538764778,5,,21256282720,1.4,0.962653,-0.29544843,-22.16495,-13745813090.003656,-22.42948,46012885963.0,100000000000.0,,3.4,-69.47124,2018-01-07T00:00:00.000Z,0.00268621,38523.41288,2014-05-22T00:00:00.000Z,,2021-04-23T06:40:08.834Z,100
5,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.01,32360835516,6,,5995510254,1.27,0.9778,-0.21586388,-17.58535,-6901329476.817223,-17.57756,32046483921.7869,45000000000.0,,1.55,-34.73948,2021-04-14T08:44:43.794Z,0.01925275,5145.01382,2020-03-13T02:22:55.044Z,,2021-04-23T06:41:10.438Z,2
6,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,28.86,28474394470,7,,3462369826,36.54,27.78,-5.95914137,-17.11385,-5827981941.6373,-16.99002,986589878.76865,1067539011.69565,,47.63,-38.93903,2021-04-17T10:04:11.809Z,2.7,978.29886,2020-08-20T05:48:11.359Z,,2021-04-23T06:39:57.459Z,33
7,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.202127,26133755608,8,,14839353604,0.299284,0.196593,-0.08565602,-29.76406,-11175109272.818607,-29.95296,129293495714.905,,,0.418888,-51.74672,2021-04-20T08:20:15.945Z,8.69e-05,232487.61978,2015-05-06T00:00:00.000Z,,2021-04-23T06:39:48.771Z,32
8,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,31.28,16203221723,9,31168589873.0,2312136804,38.17,30.57,-5.33359898,-14.56637,-2859776649.289028,-15.00171,519857388.1320768,1000000000.0,1000000000.0,39.21,-19.30788,2021-04-15T13:44:50.549Z,1.03,2971.47567,2020-09-17T01:20:38.214Z,,2021-04-23T06:41:28.695Z,88
9,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,222.79,14807591123,10,,12337181491,287.48,221.59,-42.77529062,-16.10742,-2888280149.221968,-16.32177,66752414.5153875,84000000.0,,360.66,-38.49402,2017-12-18T00:00:00.000Z,1.15,19208.7307,2015-01-14T00:00:00.000Z,,2021-04-23T06:40:58.448Z,59
